Label,Berita
hoax,"Vaksin COVID-19 mengandung microchip yang bisa melacak pergerakan dan pikiran manusia, ini adalah program pengendalian global."
hoax,Minum air rebusan daun pepaya setiap pagi terbukti bisa menyembuhkan semua jenis kanker dalam waktu 30 hari.
hoax,"Pemerintah diam-diam menaikkan harga BBM jenis Pertalite hingga 50% mulai tengah malam nanti, segera isi tangki Anda."
hoax,Penduduk Jakarta diimbau untuk tidak keluar rumah karena ada kebocoran gas beracun dari pabrik kimia di Tangerang.
hoax,Presiden telah mengeluarkan peraturan baru yang mewajibkan semua warga negara membayar pajak progresif 50% dari total aset.
hoax,Jalan tol Trans Jawa ditutup total selama tiga bulan ke depan karena adanya perbaikan mendadak dan keretakan struktural.
hoax,"Minyak kelapa sawit mengandung racun yang sangat berbahaya bagi jantung, semua produk makanan yang mengandung sawit harus ditarik."
hoax,"Seekor ular piton raksasa ditemukan di gorong-gorong Istana Negara, seluruh kawasan diamankan oleh militer."
hoax,Dokter menemukan kasus baru di mana mata manusia bisa mengeluarkan api jika terlalu sering melihat layar ponsel.
hoax,"Bank sentral akan mencetak uang kertas baru tanpa nilai nominal, yang akan menyebabkan hiperinflasi parah."
hoax,Artis ternama Syahrini dikabarkan meninggal dunia karena kecelakaan pesawat pribadi di Bali.
hoax,Aktor terkenal Dedy Corbuzier ditangkap polisi karena terlibat kasus pencucian uang besar-besaran di luar negeri.
hoax,"Semua hasil tes swab COVID-19 di Indonesia adalah positif palsu, ini adalah konspirasi untuk menakut-nakuti masyarakat."
hoax,"Gedung DPR RI tiba-tiba runtuh setelah gempa bumi kecil, semua anggota dewan terjebak di dalam."
hoax,Minum campuran cuka apel dan madu bisa membuat Anda awet muda dan hidup hingga 150 tahun tanpa penyakit.
hoax,"Kapal selam TNI hilang kontak di perairan Selat Sunda, seluruh awak dikabarkan tewas."
hoax,"Harga emas akan turun drastis dalam 24 jam ke depan, segera jual semua aset Anda sebelum terlambat."
hoax,Pemerintah Arab Saudi melarang semua jamaah dari Indonesia masuk ke wilayahnya mulai tahun depan.
hoax,Anak-anak yang sering bermain game online akan mengalami kerusakan otak permanen dan kehilangan kemampuan bicara.
hoax,"Sebuah lubang hitam muncul di langit kota Surabaya, menyebabkan gangguan elektromagnetik pada semua alat elektronik."
hoax,Semua PNS di Indonesia diwajibkan mengikuti pelatihan militer selama 6 bulan penuh di Pulau Natuna.
hoax,"Kecelakaan maut terjadi di Tol Cipali, melibatkan 100 mobil dan menewaskan 50 orang seketika."
hoax,Kopi instan mengandung zat kimia yang bisa menyebabkan insomnia kronis dan gangguan saraf berat.
hoax,Suku terasing di pedalaman Kalimantan menemukan obat mujarab dari akar pohon yang bisa menyembuhkan AIDS.
hoax,"Pemerintah mencabut semua subsidi listrik untuk rumah tangga dan industri, tagihan akan naik tiga kali lipat."
hoax,"Sebuah UFO mendarat di lapangan sepak bola GBK, militer menutup seluruh akses ke area tersebut."
hoax,"Teori bumi datar terbukti benar, NASA menyembunyikan kebenaran ini selama puluhan tahun dari publik."
hoax,Minum air dari keran di Jakarta menyebabkan kerontokan rambut total dan kebutaan permanen.
hoax,Seorang pria di Bali hidup kembali setelah dinyatakan meninggal selama 3 hari di kamar jenazah.
hoax,Semua akun media sosial di Indonesia akan diverifikasi ulang menggunakan sidik jari dan retina mata.
hoax,"Tsunami setinggi 50 meter diprediksi akan menghantam pantai selatan Jawa pada bulan depan, evakuasi segera."
hoax,Makanan yang dimasak menggunakan microwave menyebabkan radiasi dan meningkatkan risiko leukemia pada anak-anak.
hoax,Pemberian vaksin polio kepada balita di Indonesia adalah upaya untuk mengurangi populasi penduduk.
hoax,Pulau Bali akan tenggelam sepenuhnya dalam 10 tahun ke depan akibat kenaikan permukaan air laut yang cepat.
hoax,Polisi menangkap 100 anggota DPR karena terlibat skandal korupsi dana bantuan sosial.
hoax,Semua ponsel merek Apple dan Samsung akan meledak secara serentak karena *bug* sistem yang berbahaya.
hoax,"Sebuah kapal hantu berlayar di perairan Maluku, diduga membawa harta karun peninggalan zaman VOC."
hoax,Minum air hangat setiap pagi tanpa makan bisa menghilangkan semua penyakit dan membuat tubuh menjadi ringan.
hoax,Pemerintah Malaysia melarang semua warga negara Indonesia bekerja di negaranya mulai tahun 2024.
hoax,"Banjir bandang melanda kota Medan, seluruh bandara Kualanamu terendam air setinggi dua meter."
hoax,"Seorang bayi lahir dengan dua kepala di rumah sakit Bogor, menjadi berita utama dunia."
hoax,Maskapai Garuda Indonesia bangkrut dan menghentikan semua penerbangan domestik dan internasional.
hoax,PNS akan mendapatkan gaji ke-14 sebesar tiga kali lipat gaji pokok pada akhir tahun ini.
hoax,Kerupuk yang digoreng menggunakan minyak curah menyebabkan kanker dan tumor ganas pada lambung.
hoax,Warga di perbatasan Kalimantan melihat penampakan alien dari planet Mars yang sedang melakukan penelitian.
hoax,Harga tiket pesawat domestik turun 80% dalam rangka program diskon besar-besaran dari pemerintah.
hoax,Kucing peliharaan bisa menularkan virus berbahaya yang menyebabkan penyakit tidur selama berbulan-bulan.
hoax,Semua ATM di Indonesia akan ditutup karena peretasan besar-besaran oleh hacker internasional.
hoax,"Erupsi Gunung Merapi diprediksi akan menjadi yang terbesar sepanjang sejarah, abunya akan menutupi seluruh Pulau Jawa."
hoax,Indonesia telah menjual Pulau Komodo kepada investor asing dari Tiongkok dengan harga fantastis.
hoax,Polisi menemukan gudang penyimpanan uang palsu senilai triliunan rupiah di daerah Jakarta Barat.
hoax,Penggunaan helm saat berkendara diwajibkan karena bisa menyebabkan penyakit kulit kepala dan kebotakan.
hoax,Bumbu dapur MSG (Vetsin) terbuat dari fermentasi tulang babi dan bahan haram lainnya.
hoax,Penduduk Bandung digegerkan dengan suara gemuruh misterius dari bawah tanah selama tiga hari berturut-turut.
hoax,Semua mahasiswa yang lulus tahun ini akan langsung diangkat menjadi PNS tanpa tes.
hoax,Anak-anak yang sering berenang di kolam renang umum akan mengalami infeksi telinga yang tidak bisa disembuhkan.
hoax,Pemerintah Belanda menuntut Indonesia membayar ganti rugi atas kerugian selama masa penjajahan.
hoax,Minum minuman berkarbonasi setelah makan durian bisa menyebabkan kematian mendadak.
hoax,Seorang politisi terkenal ditemukan memiliki kekayaan 100 triliun rupiah yang disimpan di bunker rahasia.
